provincia,region,localidad,de0a9Mbps,de10a20Mbps,de21a49Mbps,de50a99Mbps,de100a199Mbps,de200a499Mbps,de500a1024Mbps,otros,adsl,cableModem,dialUp,fibraOptica,otros_tec,satelital,wimax,wireless,totalTecnologia,latitud,longitud
Buenos Aires,Provincia de Buenos Aires,11 De Septiembre,32,30,11,518,549,67,14,1,34,1181,0,5,1,1,0,0,1222,-34.566314345456,-58.6183600679169
Buenos Aires,Provincia de Buenos Aires,12 De Octubre,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,19,-35.607730780146,-60.9182929927645
Buenos Aires,Provincia de Buenos Aires,20 De Junio,21,28,3,319,306,20,13,0,26,682,4,0,0,0,0,1,713,-34.7855336508384,-58.7171850019077
Buenos Aires,Provincia de Buenos Aires,25 De Mayo,723,5297,307,9,0,0,0,0,873,4704,0,2,0,975,0,664,7218,-35.4339385892588,-60.1731209454056
Buenos Aires,Provincia de Buenos Aires,30 De Agosto,2560,0,0,0,0,0,0,0,0,184,0,1396,2376,0,0,0,3956,-36.2779720057322,-62.5453088654651
Buenos Aires,Provincia de Buenos Aires,9 De Abril,382,295,32,3159,2684,237,102,3,237,6483,6,12,1,0,0,153,6892,-34.7565075768115,-58.4902923509723
Buenos Aires,Provincia de Buenos Aires,9 De Julio,5750,4812,442,1816,1343,95,2,1,4360,3362,82,5886,83,1,0,831,14605,-35.4447435053964,-60.8843433362719
Buenos Aires,Provincia de Buenos Aires,Abasto,658,23,4,2245,503,70,18,642,376,608,0,3174,0,0,0,5,4163,-35.0103681960184,-58.1151848585184
Buenos Aires,Provincia de Buenos Aires,Abbott,0,181,0,139,0,0,0,1,0,0,0,302,0,1,0,18,321,-35.2825062106661,-58.8042619084922
Buenos Aires,Provincia de Buenos Aires,Acassuso,99,339,115,2420,2073,689,122,0,286,5327,1,241,1,1,0,0,5857,-34.4794018120083,-58.5074043996961
Buenos Aires,Provincia de Buenos Aires,Acevedo,342,0,0,0,0,0,0,110,115,153,0,0,0,0,0,184,452,-33.755665348987,-60.4408373865386
Buenos Aires,Provincia de Buenos Aires,Adolfo Gonzales Chaves (Est. Chaves),597,1168,44,1,0,0,0,0,549,0,2,943,0,0,0,313,1807,-38.0333995087596,-60.1003341740637
Buenos Aires,Provincia de Buenos Aires,Adrogué,205,703,11766,3661,3955,737,128,0,214,9259,59,11442,2,1,0,26,21003,-34.8015580737331,-58.3914677191541
Buenos Aires,Provincia de Buenos Aires,Aeropuerto Internacional Ezeiza,110,127,1,0,1,0,0,1,224,0,3,4,0,1,0,0,232,-34.8128216283518,-58.5521650062885
Buenos Aires,Provincia de Buenos Aires,Aguas Verdes,32,2,1,0,130,3,2,0,29,0,0,137,0,0,0,1,167,-36.6552111489067,-56.6949520678334
Buenos Aires,Provincia de Buenos Aires,Agustina,8,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,-34.4607068571169,-61.067072329925
Buenos Aires,Provincia de Buenos Aires,Agustín Roca,247,57,0,0,0,0,0,0,0,0,0,89,0,0,0,215,304,-34.508084406003,-60.8648956546314
Buenos Aires,Provincia de Buenos Aires,Alberdi Viejo,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,2,6,-34.4418003349,-61.8448787838164
Buenos Aires,Provincia de Buenos Aires,Alberti (Est. Andrés Vaccarezza),169,312,0,0,1,0,0,0,457,0,6,1,0,0,0,8,472,-35.0330734347841,-60.2806197287099
Buenos Aires,Provincia de Buenos Aires,Aldo Bonzi,12,297,13,1061,1585,119,72,0,3,3154,0,0,1,0,0,1,3159,-34.7141728890679,-58.5089043765674
Buenos Aires,Provincia de Buenos Aires,Alejandro Korn,407,128,6268,1659,1517,187,53,1,110,3534,4,6150,9,0,0,332,10139,-35.0135125285778,-58.3865346894091
Buenos Aires,Provincia de Buenos Aires,Alejandro Petión,158,125,26,369,327,49,22,2,206,830,7,0,0,0,0,42,1085,-34.9793768508134,-58.6749430768989
Buenos Aires,Provincia de Buenos Aires,Alfredo Demarchi (Est. Facundo Quiroga),510,0,0,0,0,0,0,0,450,0,0,0,60,0,0,0,510,-35.2929819536873,-61.4072542128
Buenos Aires,Provincia de Buenos Aires,Alto Los Cardales,35,0,0,0,17,14,49,0,0,0,0,80,0,0,0,41,121,-34.3160243688815,-58.9784574815339
Buenos Aires,Provincia de Buenos Aires,Alvarez De Toledo,15,10,0,0,0,0,0,1,0,0,0,25,0,1,0,0,26,-35.6391609182127,-59.6292383440582
Buenos Aires,Provincia de Buenos Aires,América,3419,88,0,0,0,0,0,0,577,928,0,1188,1,1,0,809,3504,-35.4903412429492,-62.9763759840765
Buenos Aires,Provincia de Buenos Aires,Angel Etcheverry,6,44,3,381,224,30,17,0,0,700,0,0,0,0,0,5,705,-35.0261580911328,-58.0959060056615
Buenos Aires,Provincia de Buenos Aires,Antonio Carboni,238,98,0,0,0,0,0,0,4,0,1,175,156,0,0,0,336,-35.2033088915799,-59.3449562581802
Buenos Aires,Provincia de Buenos Aires,Arana,90,39,0,0,0,0,0,0,0,0,0,0,0,0,0,129,129,-35.0300556104917,-57.8865250010855
Buenos Aires,Provincia de Buenos Aires,Area De Promocion El Triángulo,0,0,3,0,0,0,0,208,101,0,0,110,0,0,0,0,211,-34.4544550576034,-58.7062417407487
Buenos Aires,Provincia de Buenos Aires,Arenas Verdes,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,11,-38.5463782386967,-58.557322112625
Buenos Aires,Provincia de Buenos Aires,Arenaza,293,0,0,0,0,0,0,0,0,0,0,293,0,0,0,0,293,-34.9846043002155,-61.7729116988591
Buenos Aires,Provincia de Buenos Aires,Argerich,28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,29,29,-38.7686560837266,-62.6025276771033
Buenos Aires,Provincia de Buenos Aires,Arrecifes,2398,3831,8,1513,567,52,0,1,906,1127,12,4393,60,1,0,1882,8381,-34.064591121211,-60.1025564443537
Buenos Aires,Provincia de Buenos Aires,Arribeños,883,136,0,7,0,0,0,1,305,301,1,144,15,0,0,261,1027,-34.2101542565966,-61.3548577979495
Buenos Aires,Provincia de Buenos Aires,Arroyo Corto,0,31,136,92,0,0,0,0,0,0,0,259,0,0,0,0,259,-37.512917973477,-62.3116837747426
