anio,trimestre,provincia,region,bandaAnchaFija,dialUp,total_ba_du,accesx100hab,accesx100hog,adsl,cableModem,fibraOptica,wireless,otras_tecno,total_tec,velocidadMediaDesc,de0a9Mbps,de10a20Mbps,de21a49Mbps,de50a99Mbps,de100a199Mbps,de200a499Mbps,de500a10000Mbps,otros
2022,3,Buenos Aires,Provincia de Buenos Aires,4715469,6199,4721668,26.38,78.1,339648.0,2748325.0,1436433.0,126846.0,70416.0,4721668.0,70.19,430296.0,482672.0,849061.0,1466679.0,1210649.0,182661.0,33829.0,65821.0
2022,3,Ciudad De Buenos Aires,Provincia de Buenos Aires,1545534,2145,1547679,50.22,122.25,140791.0,1240125.0,129218.0,5758.0,31787.0,1547679.0,101.05,57292.0,103113.0,81909.0,489369.0,560701.0,129613.0,20205.0,105477.0
2022,3,Catamarca,Norte Grande Argentino,70292,1,70293,16.62,65.3,10010.0,10495.0,46224.0,1329.0,2235.0,70293.0,60.99,3564.0,10486.0,3737.0,31597.0,16458.0,2242.0,1.0,2208.0
2022,3,Chaco,Norte Grande Argentino,144141,5,144146,11.72,43.88,27164.0,61800.0,44645.0,8178.0,2359.0,144146.0,53.21,19037.0,26180.0,15857.0,45596.0,29199.0,4521.0,45.0,3711.0
2022,3,Chubut,Patagonia,164874,904,165778,25.86,84.4,45377.0,72212.0,9574.0,29784.0,8831.0,165778.0,15.57,60208.0,52674.0,16308.0,16112.0,425.0,27.0,0.0,20024.0
2022,3,Córdoba,Centro,1038600,68,1038668,27.05,88.3,163770.0,465461.0,338570.0,61070.0,9797.0,1038668.0,56.32,181700.0,165639.0,27757.0,371383.0,242264.0,35471.0,581.0,13873.0
2022,3,Corrientes,Norte Grande Argentino,144842,4,144846,12.69,48.22,36508.0,77140.0,18619.0,7256.0,5323.0,144846.0,45.07,30280.0,28803.0,21721.0,28688.0,24343.0,3844.0,60.0,7107.0
2022,3,Entre Ríos,Centro,268937,22,268959,19.05,63.66,60345.0,132952.0,36971.0,26098.0,12593.0,268959.0,42.49,55527.0,62457.0,32039.0,53443.0,42948.0,5690.0,96.0,16759.0
2022,3,Formosa,Norte Grande Argentino,68537,1,68538,11.14,43.75,14470.0,25880.0,11041.0,16935.0,212.0,68538.0,30.35,24056.0,25625.0,592.0,7797.0,8634.0,1230.0,15.0,589.0
2022,3,Jujuy,Norte Grande Argentino,118823,0,118823,15.06,58.9,19257.0,52978.0,40172.0,4033.0,2383.0,118823.0,32.43,22081.0,50328.0,519.0,37043.0,7848.0,796.0,208.0,0.0
2022,3,La Pampa,Patagonia,115921,171,116092,31.81,96.56,7796.0,60078.0,23551.0,20216.0,4451.0,116092.0,18.1,65331.0,19409.0,5613.0,20184.0,2508.0,35.0,0.0,3012.0
2022,3,La Rioja,Norte Grande Argentino,86860,4,86864,21.47,80.7,6842.0,53899.0,19697.0,6395.0,31.0,86864.0,44.3,3636.0,27507.0,5333.0,37693.0,11975.0,718.0,2.0,0.0
2022,3,Mendoza,Nuevo Cuyo,288746,777,289523,14.24,51.03,37659.0,78858.0,142615.0,27625.0,2766.0,289523.0,34.16,60858.0,56608.0,63461.0,83475.0,17546.0,2801.0,3.0,4771.0
2022,3,Misiones,Norte Grande Argentino,182157,0,182157,14.11,51.8,35513.0,88902.0,39046.0,11074.0,7622.0,182157.0,49.3,41067.0,32795.0,19969.0,39381.0,32204.0,8337.0,54.0,8350.0
2022,3,Neuquén,Patagonia,162693,468,163161,23.92,80.4,29352.0,75815.0,29396.0,27482.0,1116.0,163161.0,47.81,46332.0,16558.0,18409.0,35223.0,26355.0,5358.0,68.0,14858.0
2022,3,Río Negro,Patagonia,160010,548,160558,20.9,68.0,35552.0,48260.0,41017.0,16760.0,18969.0,160558.0,34.13,43690.0,36372.0,18984.0,18960.0,15804.0,2297.0,180.0,24271.0
2022,3,Salta,Norte Grande Argentino,204536,5,204541,13.99,57.75,40006.0,96984.0,50254.0,10082.0,7215.0,204541.0,41.33,40371.0,71017.0,1016.0,47795.0,32772.0,5050.0,29.0,6491.0
2022,3,San Juan,Nuevo Cuyo,103118,281,103399,12.94,50.8,38570.0,22723.0,12328.0,21860.0,7918.0,103399.0,15.84,42959.0,22820.0,16854.0,8733.0,400.0,14.0,0.0,11619.0
